epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,164.458,0.46389,0.31289,0.90084,0.99783,1,0.995,0.86279,0.5784,0.26783,0.98178,0.000834822,0.000834822,0.000834822
44,168.058,0.49844,0.34417,0.94845,0.99804,1,0.995,0.85539,0.58538,0.27133,0.97493,0.000820675,0.000820675,0.000820675
45,171.642,0.46347,0.31702,0.91215,0.99858,1,0.995,0.82811,0.64751,0.27054,1.0056,0.000806528,0.000806528,0.000806528
46,175.356,0.4544,0.3191,0.90664,0.99825,1,0.995,0.81365,0.71474,0.28841,1.03302,0.00079238,0.00079238,0.00079238
47,178.895,0.43565,0.37891,0.88284,0.99865,1,0.995,0.84105,0.6269,0.26936,0.99914,0.000778233,0.000778233,0.000778233
48,182.529,0.4476,0.30178,0.90525,0.99837,1,0.995,0.83156,0.65326,0.27535,1.00743,0.000764086,0.000764086,0.000764086
49,186.081,0.45283,0.31261,0.90691,0.99834,1,0.995,0.83132,0.65284,0.28563,1.01339,0.000749939,0.000749939,0.000749939
50,189.648,0.48419,0.321,0.9173,0.99816,1,0.995,0.81054,0.70356,0.28729,1.0345,0.000735792,0.000735792,0.000735792
51,193.186,0.43621,0.28752,0.90251,0.99857,1,0.995,0.83305,0.64604,0.26971,0.99204,0.000721645,0.000721645,0.000721645
52,196.732,0.48132,0.34188,0.9282,0.99851,1,0.995,0.83665,0.64867,0.26399,1.00615,0.000707498,0.000707498,0.000707498
53,200.278,0.44539,0.30054,0.90836,0.99828,1,0.995,0.8592,0.58654,0.25858,0.95885,0.000693351,0.000693351,0.000693351
54,203.824,0.43718,0.28278,0.91076,0.99854,1,0.995,0.83348,0.64645,0.27067,0.99143,0.000679204,0.000679204,0.000679204
55,207.397,0.44414,0.28847,0.90063,0.99847,1,0.995,0.83258,0.65897,0.27568,0.98617,0.000665057,0.000665057,0.000665057
56,211.09,0.44809,0.29782,0.89842,0.99813,1,0.995,0.82146,0.64972,0.27317,0.99451,0.000650909,0.000650909,0.000650909
57,214.636,0.42352,0.3983,0.86963,0.99863,1,0.995,0.8302,0.63052,0.26176,0.98829,0.000636762,0.000636762,0.000636762
58,218.154,0.44532,0.29772,0.9029,0.99784,1,0.995,0.84199,0.60429,0.25523,0.98522,0.000622615,0.000622615,0.000622615
59,221.694,0.45899,0.28371,0.90806,0.99804,1,0.995,0.84493,0.59068,0.25022,0.97006,0.000608468,0.000608468,0.000608468
60,225.42,0.43944,0.27463,0.89611,0.9986,1,0.995,0.81579,0.69628,0.2643,1.03546,0.000594321,0.000594321,0.000594321
61,229.08,0.45041,0.28965,0.90813,0.99858,1,0.995,0.84558,0.62206,0.26155,0.9964,0.000580174,0.000580174,0.000580174
62,232.74,0.41181,0.26778,0.89891,0.99828,1,0.995,0.82519,0.65314,0.26428,1.02042,0.000566027,0.000566027,0.000566027
63,236.293,0.4344,0.28142,0.91619,0.99863,1,0.995,0.83444,0.59547,0.26081,0.98037,0.00055188,0.00055188,0.00055188
